Gene,Degree,Betweenness,Closeness,EigenCentrality,Eccentricity,ClosenessLatora,ClosenessResidual,Decay,Geokpath,Laplacian,Leverage,Lobby,Mnc,Semilocal,Topocoefficient,Kcore,ClusteringCoefficient,CrRatio,Class
PRKAA1,25,209441.921,1.45E-08,0.022822303,0.0625,5740.561855,1621.477234,1014,7011,2628,0.060366611,16,16,1160143,19.69387755,13,0.086666667,0.04,CR
AP3B1,6,12579.22326,1.45E-08,0.002222479,0.0625,4940.295459,1089.736984,301,2139,632,-0.171968382,5,4,293920,5.774744027,4,0.333333333,0,NotCR
SGCD,1,0,1.45E-08,0.000263379,0.058823529,4415.954148,769.4104614,18,515,36,-0.888888889,1,1,12395,1,1,0,0,NotCR
ECI2,8,10387.57249,1.45E-08,0.007120931,0.0625,5303.092394,1328.442139,418,4315,892,-0.580492398,8,7,404018,7.315403423,7,0.357142857,0,NotCR
MAPK14,60,220772.5647,1.45E-08,0.093345327,0.071428571,6206.91564,1937.784302,2873,9354,9286,0.396688611,25,46,4083117,35.32810271,17,0.049717514,0,NotCR
GNMT,3,1165.646692,1.45E-08,0.002010808,0.066666667,4960.884196,1093.195251,110,2582,226,-0.527781392,3,1,110749,3,2,0,0,NotCR
GCLC,1,0,1.56E-09,7.05E-18,1,1,1.5,2,1,4,0,1,1,1,,1,0,0,CR
HDAC2,163,600116.0704,1.45E-08,0.29987622,0.071428571,6710.715027,2290.190247,8326,11647,43058,0.624147324,49,160,12268812,57.48946078,18,0.06899947,0.012269939,CR
UTRN,8,41120.60434,1.45E-08,0.009828324,0.0625,5271.4735,1307.975449,316,4341,688,-0.210787771,7,3,360950,7.449180328,6,0.142857143,0,NotCR
PCMT1,5,5478.976289,1.45E-08,0.013716264,0.066666667,5680.650863,1578.874115,608,6847,1236,-0.777712456,5,1,783933,4.715719064,5,0,0.2,NotCR
BZW2,6,15632.3243,1.45E-08,0.005008266,0.0625,5341.343164,1353.132492,481,4447,992,-0.41534865,6,3,527320,5.771186441,5,0.133333333,0,NotCR
VPS41,18,48465.74334,1.45E-08,0.002860877,0.058823529,5225.069929,1295.2164,455,4502,1216,0.091027217,13,18,322725,11.61556064,8,0.385620915,0,NotCR
GCK,2,22568,1.45E-08,0.000151439,0.066666667,4200.633245,635.6942749,5,263,12,0.166666667,2,1,3977,2,1,0,0,CR
AHCYL2,1,0,1.45E-08,0.000129239,0.0625,4299.736412,693.687088,6,368,12,-0.666666667,1,1,5023,1,1,0,0,NotCR
DGKI,1,0,1.45E-08,0.004074048,0.066666667,5018.082357,1128.650543,105,2643,210,-0.980952381,1,1,154633,1,1,0,0,NotCR
EZH2,97,402962.4897,1.45E-08,0.187883369,0.066666667,6434.162438,2100.436157,5667,10120,20646,0.418107074,42,84,7957481,41.58139953,18,0.078608247,0.030927835,NotCR
CDK5,41,701886.7668,1.45E-08,0.067487995,0.066666667,6137.593637,1890.570282,1992,9558,5624,0.211169992,25,24,2894910,24.96388029,17,0.082926829,0.024390244,NotCR
SGCZ,1,0,1.45E-08,7.00E-05,0.055555556,4095.030285,602.1812286,3,575,6,-0.333333333,1,1,2772,1,1,0,0,NotCR
POLR3D,13,1046.773531,1.45E-08,0.002917056,0.0625,4763.688462,972.7924805,227,1800,610,-0.015456913,10,13,138998,4.799065421,8,0.58974359,0,NotCR
EIF4EBP1,7,270146.6694,1.45E-08,0.007079238,0.066666667,5405.616808,1376.222992,338,4712,718,-0.675514846,7,2,362421,6.291411043,6,0.047619048,0.142857143,CR
HOOK3,14,43436.23284,1.45E-08,0.006756777,0.0625,5364.257893,1371.998581,687,4423,1556,-0.022355477,11,8,669730,12.97458894,8,0.120879121,0,NotCR
ATP6V1H,5,11898.67162,1.45E-08,0.006482511,0.0625,5399.536649,1387.501587,403,4908,826,-0.415552294,5,4,462968,4.798488665,5,0.6,0.2,NotCR
UQCRB,6,3407.743611,1.45E-08,0.000832637,0.0625,4802.539648,1011.980392,89,2091,208,-0.330413254,6,3,65339,5.175,5,0.133333333,0.166666667,NotCR
JAK2,34,61543.48188,1.45E-08,0.04006381,0.066666667,6021.120693,1817.794464,1813,9171,4748,0.044392324,24,30,2295147,19.42309859,17,0.174688057,0.088235294,NotCR
ELAVL2,1,0,1.45E-08,0.001153139,0.0625,4492.514911,813.9317169,16,1106,32,-0.875,1,1,27349,1,1,0,0,NotCR
TGFBR1,40,177127.1381,1.45E-08,0.047180533,0.066666667,6017.936999,1814.971405,1948,8519,5456,0.138339098,25,30,2482955,27.94520548,16,0.079487179,0,NotCR
HSPA5,84,794876.4296,1.45E-08,0.187234386,0.071428571,6824.711888,2384.007141,6160,12593,19292,0.312020087,42,73,8369626,44.63841715,18,0.054790591,0.023809524,NotCR
TSC1,16,20374.23811,1.45E-08,0.030777309,0.066666667,5792.786217,1658.289215,1219,7227,2678,-0.301001768,14,12,1594361,12.83736447,11,0.116666667,0.1875,NotCR
CCNL2,4,831.1138618,1.45E-08,0.002003283,0.0625,4874.355633,1040.558289,96,2266,204,-0.60649492,4,1,87145,3.954545455,4,0,0,NotCR
ATAD3B,1,0,1.45E-08,0.000564261,0.0625,4521.129813,818.5596771,40,515,80,-0.95,1,1,37159,1,1,0,0,NotCR
